house: 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.000
close: 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.000
emmita: -0.340, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.000
pose: 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.000 
maria: 0.470, 0.000, 0.440, 0.000, 1.190, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.000 
abrazo: 0.470, 0.000, 0.440, 0.000, 1.190, 0.840, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.000 
despedida: 0.470, 0.000, 0.440, 0.000, 1.190, 0.840, 0.000, 0.000, 0.000, 0.000, 0.000, 0.990, 2.000 
kkk: 0.470, 0.000, 0.440, 0.000, 1.190, 0.840, 0.000, 0.000, 0.000, 0.000, 0.000, 0.990, 2.000 
esooo: 0.470, 0.000, 0.440, 0.000, 1.190, 0.840, 0.000, 0.000, 0.000, 0.000, 0.000, 0.990, 2.000 
jnxiid: 0.470, 0.000, 0.440, 0.000, 1.190, 0.840, 0.000, 0.000, 0.000, 0.000, 0.000, 0.990, 2.000 
